ID,TITLE,BODY,CAT,CLASS
20130113030811AA6bVuC,Which restaurant chain might entertain with this?,"Is there any pizzeria chain or a pizza joint that might offer or provide on request pizza with ""ultra low-fat cheese"" and toppings of soybean and ""live brown organic mushrooms""? Anywhere?",Dining Out,Particulares
20130113080719AAF4OFX,What is the zip code for ireland?,i need to know the zip code or post code for ireland,Local Businesses,Web
20130314221330AAi8n6H,Do you live in denver colorado?,"I am looking to relocate from virginia to colorado within the next two years, I was wondering what life is like in denver colorado? What are the best suburbs to live in? weather year round? malls/places of entertainment? and how things work now since recreational use of marijuana was legalized?",Local Businesses,Otros
20130419135724AAd1URe,How does a bulletproof vest work?,Anyone have information on how a bullet proof vest actually stops a bullet?,Local Businesses,Web
20130809031040AASNPCs,I REALLY need help to find a villa holiday for the last 2 weeks in October. Websites?,"My budget is £1500 for 2 weeks in a villa for 5 people (not including flights) with private pool and short walk to beach, bars etc. Because I want to go in October, I am thinking about going to the Canary Islands (preferably lanzarote or feurteventura) Does anyone have any websites? So far I have tried.. - villaplus.com - holidaylettings.com - jamesvillaholidays.com - ownersdirect.com - homeaway.co.uk so far no luck :(",Travel,Particulares
20130809143155AAOB3fv,Is Seattle talent a scam?,MY friends mom looked it up on the internet and she found out it's a scam but I want to prove that it isn't so she could audition!,Local Businesses,Complejas
20130814170307AAlh2DT,What nightclubs does Michelle Keegan go to in Manchester?,What nightclubs and bars does Michelle Keegan (Tina Mcintyre from Coronation Street) go to in Manchester?,Dining Out,No respondibles
20131125160654AACTVl7,Does God exist and if yes why?,I mean why what,Dining Out,Particulares
20131128031255AAXfviI,Why puma shoes have ferrari logo ?,i found that puma ferrari shoes more costly than puma shoes. Does ferrari shoes have more features?,Local Businesses,Particulares
20140212162552AAEcUyf,What dies it mean to dream of a dead person that knows in the dream they are dying?,It is always soneone close. Usually only One dream like that and it always varies in nature for example. When my aunt died I dreamed she rose up from her coffin and was walking around outside the funeral home talking to ppl knowing she had to die Another was my dad wanting breakfast made and knowing also of pending death and tellin me my brother never said he loved him there also is never a time frame as to when it happens could be right away or months or a year,Dining Out,No respondibles
20140217164152AAQnyc6,I NEED HELP FINDING AN APARTMENT IN HOUSTON TX THAT ACCEPT FELONIES?,I COULD USE A LIST OF FELONY FRIENDLY APARTMENTS IN THE HOUSTON AREA I WAS CONVICTED OF A FELONY FOR BURGLARY OF HABITATION 7 AND A HALF YEARS AGO AND HAVE SINCE TURNED MY LIFE AROUND BUT NOW IM HAVING A HAVING PROBLEMS FINDING AN APARTMENT...IVE ALREADY TRIED APT FOR FELONS LOCATOR AND WAS NOT A BIG HELP AT ALL SAME GOES FOR ALL THE OTHER LOCATORS WHO SAY THEIR GOING TO MAIL ME A LIST AND THEY NEVER DO ANY HELP WOULD BE APPRECIATED...THANKS.,Local Businesses,Particulares
