qid,idEtiqueta,idUsuario,fecha,tiempoClick,fechaCarga,cuentaWeb,cuentaYA,qid,idCategoria,titulo,idioma,body,estado,prioritario,seguidores
20130113080719AAF4OFX,5,34,"2016-08-25 15:42:40",477,"2016-08-25 12:32:32",0,0,20130113080719AAF4OFX," Local Businesses","
            What is the zip code for ireland?
        ",UK,"i need to know the zip code or post code for ireland",0,1,0
20130314221330AAi8n6H,1,34,"2016-08-25 15:43:09",2,"2016-08-25 12:42:40",0,0,20130314221330AAi8n6H," Local Businesses","
            Do you live in denver colorado?
        ",EN,"I am looking to relocate from virginia to colorado within the next two years, I was wondering what life is like in denver colorado? What are the best suburbs to live in? weather year round? malls/places of entertainment? and how things work now since recreational use of marijuana was legalized?",1,1,0
20140212162552AAEcUyf,3,34,"2016-08-25 15:32:32",119,"2016-08-23 02:45:03",0,0,20140212162552AAEcUyf," Dining Out","
            What dies it mean to dream of a dead person that knows in the dream they are dying?
        ",EN," It is always soneone close. Usually only One dream like that and it always varies in nature for example. When my aunt died I dreamed she rose up from her coffin and was walking around outside the funeral home talking to ppl knowing she had to die Another was my dad wanting breakfast made and knowing also of pending death and tellin me my brother never said he loved him there also is never a time frame as to when it happens could be right away or months or a year",1,1,2
20150710074446AAWWSpZ,3,34,"2016-08-25 15:44:31",11,"2016-08-25 12:43:09",0,0,20150710074446AAWWSpZ," Environment","
            Did oil companies kill the electric car?
        ",EN,"Does Elon Musk know about this?",1,1,0
20150802184944AAAk2Z8,3,34,"2016-08-25 15:45:49",39,"2016-08-25 12:44:31",0,0,20150802184944AAAk2Z8," Cars & Transportation","
            Could someone call General Motors and pay them to make you a new H2 Hummer?
        ",EN,,1,1,0
20150821010227AAgVlrP,8,34,"2016-08-25 15:49:29",144,"2016-08-25 12:45:49",7,1,20150821010227AAgVlrP," Society & Culture","
            Was The Whore of Babylon the one who spread lies in order to pit people against each other or what not?
        ",EN,,1,1,0
20150824202741AAdLZVU,2,34,"2016-08-25 15:50:30",6,"2016-08-25 12:49:29",0,0,20150824202741AAdLZVU," Politics & Government","
            If I ran for president and won could I act really stupid and manage to not get impeached?
        ",EN," I'm talking about the greatest joke of all time. If I was to study law for 8 years and become determined to be the greatest politician of all time for the sake of my joke. Would I get impeached if I won the election and just did really stupid things once I was in office? like REALLY stupid.  
 
Here's an example I would demand that all humans were to be removed from the White House and I would live with monkeys and replace all rooms with indoor gardens with banana trees and I would poop in my hands and throw it at people.  
 
Another example of stupid **** I would do is this; every time I was supposed to give a speech I would just start making monkey noises and throw my poop at the reporters. 
 
Would this be worth it even if I did get impeached? or would the corrupt government stop my plans as soon as I demanded humans to be removed from the White House? 
 
Serious answers only. I'm not a troll, this is something I've contemplated for the past 3-4 years. I've almost earned a masters degree in business law and I really want to do this.",1,1,0
20150826153640AA6TLzt,5,34,"2016-08-25 15:53:21",108,"2016-08-25 12:50:30",0,0,20150826153640AA6TLzt," Education & Reference","
            Is it constitutional to try captured terrorists in military tribunals? Long answer please.?
        ",EN,,1,1,0
20150829085715AAcSlQr,5,34,"2016-08-25 15:54:23",13,"2016-08-25 12:53:21",0,0,20150829085715AAcSlQr," Yahoo Products","
            Can I have more than one email address?
        ",UK,,1,1,0
20150829134857AALd3uK,5,34,"2016-08-25 15:54:47",3,"2016-08-25 12:54:24",0,0,20150829134857AALd3uK," Yahoo Products","
            What if no one answers my question?
        ",EN,,0,1,0
