ID,TITLE,BODY,CAT,CLASS
20130419202423AAnchFW,Whats boothworld industries o.0?,i read about it online with a number to call but i don't have a phone with me so i want to know what exactly it is. somebody explain please ?...,Local Businesses,Web
20130528183651AAlxxEK,Whats the amount for baby sitting ?,im baby sitting a 3 year old and her brother who is 6 or 8 and my tia im babysitting her kids asked what will i charge and i was nervous too answert back . im going to be there in the mornin maybe 2 or 3 days straight and im gonna sleep over to so `is that extra amount of money ? please answer thanks (:,Local Businesses,Web
20140322084055AAnBpIX,How do you pronounce Cork?,"Personally I pronounce it as ""core-k"", but I have noticed that a lot of people pronounce it as ""Cawrk"" or ""Cark"", which I find rather annoying. Why is this? It is spelt with an o not with an a!",Travel,Web
20140402052617AAVP8Fc,Facebook coupons how can i buy it?,My name is gold berg I am looking for facebook coupons I want to buy it for my ad account of facebook. Kindly guide me where can i get it on very affordfable cost.,Local Businesses,Web
20140522102402AAPIqjl,What are some commonly used vegetable that are used in Mexican dishes?,*vegetables,Dining Out,Web
20140829185932AALNpat,Why do people call Michael Jackson the King of Pop when really?,When really we all know that Coke is the King of Pop. Who do these fools think they're fooling? I saw some clown on here even trying to claim he was the King of Rock as well. The closest Michael ever came to rock was finding a pebble in his back yard.,Dining Out,Web
20141222190523AA0UFf6,Did Burger King really buy Tim Hortons?,I saw a post on 9GAG (screenshot attached) and I wanted to know if it was true if Burger King bought Tim Hortons and took Timbits off the menu. I used to live in Canada (Australia now) and I really want to know!! Thanks,Dining Out,Web
20150831045718AADOO2u,How did Japan's invasion of China lead to World War 2?,A short brief paragraph would be helpful... thanks :).,Arts & Humanities,Web
20150904133815AAfHPrw,How is the world running out of water?,Can somebody explain to me how we are running out of water? Is it all just becoming dirty??,Environment,Web
20150909202759AAGzd4E,"Why are prices marked as $2.99, 4.99 etc?",Why don't they just mark the price as $3.00 or $5.00?,Yahoo Products,Web
20150922125632AAq4zVa,I'm asking so many questions! Where can I get copic markers?,The title says all :) I'm a very bad artist so I want to test my luck at copic markers ???? That doesn't really make sense but I want to know what store(s) sell them and what kind of paper I should use them on.,Arts & Humanities,Web
20150922181148AAMsFad,Google to Alphabet?,Why is Google changing its name to Alphabet? When is it going to happen? What will happen when they do change it?,Computers & Internet,Web
20150924095201AA1Z7R9,Is the inability to read and recognize handwritten words a learning disability?,"For example, if I were to write ""Yahoo"" on a piece of paper, and is clearly legible to everyone else, but someone doesn't see it or can't read it because I didn't close the circle on the ""a"", is it a specific learning disability or any other specific disability? Autism? Thanks",Education & Reference,Web
20151003154826AAUPMQ6,How do people learn how to do backflips and/or front flips?,I want to learn how to do one but how do I start? I'm kinda scared I'll injured myself severely or break my neck or land incorrectly. Do you have to take gymnastics or anything?,Sports,Web
20151006003912AAQ0Wa4,How often do airline pilots use hud and what are its advantageous?,https://youtu.be/DDXCnKEeql4,Cars & Transportation,Web
20151008090421AAOd4au,If I wear sunscreen on my face every day will I end up looking young or terrible?,"I read everywhere that you should wear sunscreen every day to prevent skin cancer and delay wrinkles. But I asked about it on here and people say they only tell you that to maintain the billion dollar sunscreen/moisturizer business. I just want to have healthy young looking skin for as long as possible. Right now I don't put anything on my face really, I'm 20 so I want to start doing the right thing. I asked before and was told that sunscreens have bad chemicals in them and they will actually AGE skin",Beauty & Style,Web
20151008150255AAEX4I4,Why is Africa so poor compared to other regions notably Europe/Asia? (Science)?,They are the poorest continent in the world and have contributed the least amount of technology or science compared to other global regions. They are engaging in outdated cultures there and tribal behaviors still. The continent is home to many wars and tribal fueds. Could this be a result of race or different factors? (Science),Social Science,Web
20151011224453AAPVn5P,Playstation 3 OFW Banned console question.?,So i got a jailbreak but my brother for some reason updated it to ofw :/ and i got banned on my console because of the pirated data on my ps3. So can i just re downgrade and jailbreak it and change my ps3 console id and play online again with that jailbreak?,Consumer Electronics,Web
20151013041219AAWQZ8K,Adding a time/date stamp to video?,is there any software that will add an accurate timestamp to video which came from a camera that doesn t support video time stamping? the camera is a nikon coolpix p900 which allows timestamping on photos but not video. Is there any way to make this work?,Consumer Electronics,Web
20121227125834AAqDRyt,Where can I get a customized hole puncher?,"I've been trying to find a site that would let me design my own hole puncher to be used at a nail salon but have been unsuccessful. I want the hole to be shaped into a nail polish bottle and a cursive ""L"" if possible. Does anyone know where I can get this done?",Local Businesses,Particulares
20130301021744AAXdDrX,Where can i find choclate covered strawberries in hyderabad?,Im craving for them like crazy... Can any one tell me where can i get choclate covered strawberries in hyderabad.... Im ready to go to any corner of hyderabad to find them... Please tell me where can i find them..,Dining Out,Particulares
20130314221330AAi8n6H,Do you live in denver colorado?,"I am looking to relocate from virginia to colorado within the next two years, I was wondering what life is like in denver colorado? What are the best suburbs to live in? weather year round? malls/places of entertainment? and how things work now since recreational use of marijuana was legalized?",Local Businesses,Particulares
20130405181815AA3mGtU,"Hi, is this at least 20 characters long?",i don't wanna add detail,Dining Out,Particulares
20130422052100AAlfdW8,Builders and developers firm?,Contect numbers and e-mail address or web adress of builders and developers firm in pune,Local Businesses,Particulares
20130423125755AApOhPT,Can a 13 year old Boy sign for a package?,"I asked my mom for a elgato game capture + 4gb of ram for my laptop, when the package comes, can i sign for it and get it?",Local Businesses,Particulares
